3.176375,12.65534
2.799197,12.00402
2.330623,12.09214
2.031915,12.10638
1.758865,9.099291
1.433333,9.2
1.333333,4
1.333333,9
423.7333,4.533333
423.5,4.5
423.5,4.5
425.4074,4.148148
426.2222,3.555556
0,0
0,0
NaN,NaN
NaN,NaN
0,0
425.1667,3.75
423.6,3.9
421.8551,4.014493
420.0317,4.142857
418.5072,4.710145
416.4902,4.823529
415.375,4.541667
414.3182,4.621212
413.5313,4.21875
412.7436,4.461538
412.6667,4.929824
412.697,5.090909
412.4603,4.698413
411.3846,4.576923
410.8485,4.378788
410.1,4.133333
409.7188,4.114583
408.3333,4.383333
407.7917,4.513889
405.875,4.833333
403.8445,4.977778
403.1746,4.555555
400.5507,4.898551
399.8116,4.724638
398.1587,4.793651
397.7067,4.613333
396.125,4.708333
396.6508,4.634921
395.7273,4.757576
394.6364,4.954545
395.0794,5.095238
395.3,4.7
394.9216,4.862745
395.549,4.941176
395.5072,4.623188
395.4667,4.853333
395.0555,4.777778
395,5.3
395.4603,5.015873
395.4375,4.875
396.2424,4.727273
395.6875,4.770833
395.4091,5.121212
395.4912,5.070176
395.8333,4.833333
395.2267,5.093333
395.7193,4.561403
395.2157,4.921568
395.65,4.983333
396.0926,4.555555
395.4667,5.026667
395.55,4.883333
395.8596,4.77193
395.3333,5.092593
394.7436,5.128205
395.65,4.983333
396.1,4.45
395.35,5.083333
395.3704,5.259259
395.75,4.616667
394.9019,5.254902
395.7308,4.717949
395.6875,4.645833
395.1159,4.927536
395.75,4.616667
395.2222,5.111111
395.8636,4.681818
395.6377,4.84058
395.2917,5.083333
395.6667,4.777778
395.3733,5.013333
395.2778,5.092593
395.85,4.6
395.3889,5.148148
395.6508,4.825397
396.0909,4.545455
395.65,4.983333
395,5.25
395.4127,4.777778
395.3125,5.229167
395.4603,4.539682
394.7,5.283333
394.875,4.9375
395.4561,4.614035
395.7556,4.911111
395.5555,4.666667
395.9091,4.712121
395.5072,4.797101
395.2408,4.925926
394.6875,5.291667
395.5555,4.666667
395.697,4.878788
395.0555,4.944445
395.9286,4.714286
395.1111,4.981482
395.2292,4.770833
395.9206,4.777778
395.6667,4.607843
395.5909,4.939394
395.4375,5.020833
395.4,4.833333
394.4815,5.259259
395.1,5.05
396.0877,4.508772
395.1538,4.948718
395.2933,4.853333
394.746,5.142857
395.1555,5.066667
395.4409,4.688172
395.5,4.933333
395.4035,4.982456
396.0351,4.754386
395.1429,5.142857
395.125,4.833333
395.8039,4.568627
395.3333,4.861111
395.7083,4.5
395.5,4.933333
395.0196,5.215686
395.3704,4.925926
395,5
395.2456,4.719298
395.7222,4.722222
395.3922,4.745098
395.9804,4.745098
395.125,5.0625
395.6818,4.757576
395.0222,5.288889
394.375,4.875
392.0303,5.181818
392.4445,4.888889
393.1111,4.822222
393.7408,5.148148
392.7333,6.266667
392.5778,5.844444
392.875,5.958333
392.125,6.625
392.5333,5.133333
390.3922,4.745098
388.9394,4.181818
385.2592,4.481482
382.3333,4.380952
382.0625,3.958333
379.2222,4.555555
379.5,4.5
375.9167,4.833333
375.1569,5.54902
375.0222,5.422222
373.9394,5.666667
373.451,4.529412
371.3571,5
369.5,4.972222
